incident_id,incident_type,severity,risk_score,transaction_count,customer_count,device_count,ip_count,estimated_exposure,recommended_action,priority,action_title,explanation,next_steps,root_causes
INC-0001,GEOGRAPHIC_ANOMALY,LOW,75,7,7,7,7,149336.65,STEP_UP_VERIFICATION,P1,Require additional verification,The incident has strong risk indicators. Additional verification is recommended before allowing further high-risk activity.,"[""Require step-up verification"", ""Monitor linked transactions"", ""Review customer and device history"", ""Create investigation case if activity continues""]","[""Transaction locations differ from expected geographic behavior."", ""7 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0002,AMOUNT_ANOMALY,CRITICAL,100,55,16,15,16,4613518.5,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Prioritize financial exposure review"", ""Review incident-level transaction cluster"", ""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Transaction amounts are significantly different from normal behavior."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""16 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0003,REFUND_ABUSE,MEDIUM,85,15,14,14,14,289455.01,STEP_UP_VERIFICATION,P1,Require additional verification,The incident has strong risk indicators. Additional verification is recommended before allowing further high-risk activity.,"[""Require step-up verification"", ""Monitor linked transactions"", ""Review customer and device history"", ""Create investigation case if activity continues""]","[""Refund activity indicates possible abuse of the transaction lifecycle."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""14 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0004,PAYMENT_VELOCITY_ATTACK,HIGH,75,8,6,6,6,173083.83,STEP_UP_VERIFICATION,P1,Require additional verification,The incident has strong risk indicators. Additional verification is recommended before allowing further high-risk activity.,"[""Require step-up verification"", ""Monitor linked transactions"", ""Review customer and device history"", ""Create investigation case if activity continues""]","[""Transactions occurred at unusually high velocity."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""6 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0005,PAYMENT_VELOCITY_ATTACK,CRITICAL,85,21,12,12,12,488724.05,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Review incident-level transaction cluster"", ""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Transactions occurred at unusually high velocity."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""12 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0006,COORDINATED_ACCOUNT_ABUSE,CRITICAL,100,67,25,1,1,991066.38,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Prioritize financial exposure review"", ""Review incident-level transaction cluster"", ""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Multiple customer accounts exhibit coordinated transaction behavior."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""25 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0007,COORDINATED_ACCOUNT_ABUSE,CRITICAL,100,127,17,1,1,1979918.67,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Prioritize financial exposure review"", ""Review incident-level transaction cluster"", ""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Multiple customer accounts exhibit coordinated transaction behavior."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""17 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0008,GEOGRAPHIC_ANOMALY,HIGH,95,5,5,5,5,103810.67,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Transaction locations differ from expected geographic behavior."", ""5 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0009,PAYMENT_METHOD_ABUSE,MEDIUM,85,10,7,7,7,271338.23,STEP_UP_VERIFICATION,P1,Require additional verification,The incident has strong risk indicators. Additional verification is recommended before allowing further high-risk activity.,"[""Require step-up verification"", ""Monitor linked transactions"", ""Review customer and device history"", ""Create investigation case if activity continues""]","[""Unusual concentration of activity around a payment method was detected."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""7 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0010,PAYMENT_METHOD_ABUSE,HIGH,80,5,5,5,5,123942.4,STEP_UP_VERIFICATION,P1,Require additional verification,The incident has strong risk indicators. Additional verification is recommended before allowing further high-risk activity.,"[""Require step-up verification"", ""Monitor linked transactions"", ""Review customer and device history"", ""Create investigation case if activity continues""]","[""Unusual concentration of activity around a payment method was detected."", ""5 customer accounts are linked to this incident."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
